prev,after
Corresponding author.,corresponding author.
university of sao paulo,university of sao paulo
university of liege,university of liege
"Zhejiang University(Zhejiang University),Hangzhou,China","zhejiang university(zhejiang university),hangzhou,china"
"Harbin Institute of Technology(Harbin Institute of Technology,Harbin Inst. of Technol.),Harbin,China","harbin institute of technology(harbin institute of technology,harbin inst. of technol.),harbin,china"
"Univ Texas MD Anderson Canc Ctr, Houston, TX 77030 USA","univ texas md anderson canc ctr, houston, tx 77030 usa"
University of Wisconsin-Madison,university of wisconsin-madison
"Huazhong University of Science and Technology(Huazhong University of Science and Technology,Huazhong Univ. of Sci. and Technol.),Wuhan,China","huazhong university of science and technology(huazhong university of science and technology,huazhong univ. of sci. and technol.),wuhan,china"
Corresponding authors.,corresponding authors.
sao paulo state university,sao paulo state university
"Peking University(Peking University),Beijing,China","peking university(peking university),beijing,china"
"Univ Calif San Francisco, San Francisco, CA 94143 USA","univ calif san francisco, san francisco, ca 94143 usa"
Corresponding author,corresponding author
"Univ Penn, Philadelphia, PA 19104 USA","univ penn, philadelphia, pa 19104 usa"
"Jilin University(Jilin University),Changchun,China","jilin university(jilin university),changchun,china"
"Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China","chinese academy of sciences(chinese academy of sciences),beijing,china"
"Sichuan University(Sichuan University),Chengdu,China","sichuan university(sichuan university),chengdu,china"
university of wisconsin madison,university of wisconsin madison
"Xi'an Jiaotong University(Xi'an Jiaotong University,Xi'an Jiaotong Univ,Xi'an Jiaotong Univ.),Xi An,China","xi'an jiaotong university(xi'an jiaotong university,xi'an jiaotong univ,xi'an jiaotong univ.),xi an,china"
"Massachusetts Gen Hosp, Boston, MA 02114 USA","massachusetts gen hosp, boston, ma 02114 usa"
"Wuhan University(Wuhan University),Wuhan,China","wuhan university(wuhan university),wuhan,china"
"Dalian University of Technology(Dalian University of Technology,Dalian Univ. of Technol.),Dalian,China","dalian university of technology(dalian university of technology,dalian univ. of technol.),dalian,china"
"Beijing Institute of Technology(Beijing Institute of Technology,Beijing Inst. of Technol.),Beijing,China","beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china"
"National University of Defense Technology(National University of Defense Technology,National Univ. of Defense Technology),Changsha,China","national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china"
"Central South University China(Central South University ^),Changsha,China","central south university china(central south university ^),changsha,china"
"Southeast University(Southeast University,Southeast Univ),Nanjing,China","southeast university(southeast university,southeast univ),nanjing,china"
To whom correspondence should be addressed.,to whom correspondence should be addressed.
"Fudan University(Fudan University),Shanghai,China","fudan university(fudan university),shanghai,china"
"University of Science and Technology of China(University of Science and Technology of China,Univ. of Sci. and Technol. of China),Hefei,China","university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china"
"Tongji University(Tongji University,Tongji Univ.),Shanghai,China","tongji university(tongji university,tongji univ.),shanghai,china"
"University of Science and Technology Beijing(University of Science and Technology Beijing),Beijing,China","university of science and technology beijing(university of science and technology beijing),beijing,china"
"Shandong University(Shandong University),Jinan,China","shandong university(shandong university),jinan,china"
These authors contributed equally to this work.,these authors contributed equally to this work.
"Nanjing University(Nanjing University),Nanjing,China","nanjing university(nanjing university),nanjing,china"
Auteur correspondant.,auteur correspondant.
"Northeastern University China(Northeastern University,Northeastern Univ.),Shenyang,China","northeastern university china(northeastern university,northeastern univ.),shenyang,china"
"Baylor Coll Med, Houston, TX 77030 USA","baylor coll med, houston, tx 77030 usa"
"Fermilab Natl Accelerator Lab, Batavia, IL 60510 USA","fermilab natl accelerator lab, batavia, il 60510 usa"
"Univ Calif Los Angeles, Los Angeles, CA USA","univ calif los angeles, los angeles, ca usa"
"Northwestern Polytechnical University(Northwestern Polytechnical University,Northwestern Polytechnical Univ),Xi'an,China","northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china"
"Univ Alabama Birmingham, Birmingham, AL USA","univ alabama birmingham, birmingham, al usa"
"South China University of Technology(South China University of Technology,South China Univ. of Technol.),Guangzhou,China","south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china"
"Inst High Energy Phys, Beijing 100049, Peoples R China","inst high energy phys, beijing 100049, peoples r china"
"University of Electronic Science and Technology of China(University of Electronic Science and Technology of China),Chengdu,China","university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china"
"Xidian University(Xidian University,Xidian Univ.),Xi An,China","xidian university(xidian university,xidian univ.),xi an,china"
"Chongqing University(Chongqing University),Chongqing,China","chongqing university(chongqing university),chongqing,china"
instituto politecnico nacional,instituto politecnico nacional
"Nanjing University of Aeronautics and Astronautics(Nanjing University of Aeronautics and Astronautics,Nanjing Univ. of Aero. and Astron.),Nanjing,China","nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china"
texas a m university,texas a m university
"Beijing University of Technology(Beijing University of Technology,Beijing Polytechnic University),Beijing,China","beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china"
"Beijing University of Posts and Telecommunications(Beijing University of Posts and Telecommunications,Beijing Univ. of Posts and Telecom.),Beijing,China","beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china"
"China University of Petroleum - Beijing(China University of Petroleum,University of Petroleum),Beijing,China","china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china"
federal university of parana,federal university of parana
"Univ Calif San Diego, La Jolla, CA 92093 USA","univ calif san diego, la jolla, ca 92093 usa"
"North China Electric Power University(North China Electric Power University),Beijing,China","north china electric power university(north china electric power university),beijing,china"
"Univ Calif Davis, Davis, CA 95616 USA","univ calif davis, davis, ca 95616 usa"
"Mem Sloan Kettering Canc Ctr, 1275 York Ave, New York, NY 10021 USA","mem sloan kettering canc ctr, 1275 york ave, new york, ny 10021 usa"
"Mem Sloan Kettering Canc Ctr, New York, NY 10021 USA","mem sloan kettering canc ctr, new york, ny 10021 usa"
"Wuhan University of Technology(Wuhan University of Technology),Wuhan,China","wuhan university of technology(wuhan university of technology),wuhan,china"
"Univ Wisconsin, Madison, WI USA","univ wisconsin, madison, wi usa"
Autor para correspondencia.,autor para correspondencia.
"Beihang University(Beijing University of Aeronautics and Astronautics,Beihang University),Beijing,China","beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china"
"Nanjing University of Science and Technology(Nanjing University of Science and Technology,Nanjing Univ. of Sci. and Technol.,Nanjing Univ. of Sci. and Technology,NUST),Nanjing,China","nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china"
"Institute of High Energy Physics Chinese Academy of Science(Chinese Academy of Sciences,Institute of High Energy Physics),Beijing,China","institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china"
"Harbin Engineering University(Harbin Engineering University),Harbin,China","harbin engineering university(harbin engineering university),harbin,china"
federal university of sao paulo,federal university of sao paulo
technische universitat munchen,technische universitat munchen
"Dana Farber Canc Inst, Boston, MA 02115 USA","dana farber canc inst, boston, ma 02115 usa"
"Univ Calif Berkeley, Berkeley, CA 94720 USA","univ calif berkeley, berkeley, ca 94720 usa"
"Univ N Carolina, Chapel Hill, NC USA","univ n carolina, chapel hill, nc usa"
"Lawrence Livermore Natl Lab, Livermore, CA 94550 USA","lawrence livermore natl lab, livermore, ca 94550 usa"
"Penn State Univ, University Pk, PA 16802 USA","penn state univ, university pk, pa 16802 usa"
"Icahn Sch Med Mt Sinai, New York, NY 10029 USA","icahn sch med mt sinai, new york, ny 10029 usa"
"Southwest Jiaotong University(Southwest Jiaotong University,Southwest Jiaotong Univ.),Chengdu,China","southwest jiaotong university(southwest jiaotong university,southwest jiaotong univ.),chengdu,china"
"China University of Mining Technology(China University of Mining and Technology,China Univ. of Mining and Technol.),Beijing,China","china university of mining technology(china university of mining and technology,china univ. of mining and technol.),beijing,china"
empresa brasileira de pesquisa agropecuaria,empresa brasileira de pesquisa agropecuaria
vu university amsterdam,vu university amsterdam
"Beijing Jiaotong Daxue(Beijing Jiaotong University,Northern Jiaotong University),Beijing,China","beijing jiaotong daxue(beijing jiaotong university,northern jiaotong university),beijing,china"
"Shanghai University(Shanghai University),Shanghai,China","shanghai university(shanghai university),shanghai,china"
"Jiangsu University(Jiangsu University),Zhenjiang,China","jiangsu university(jiangsu university),zhenjiang,china"
"Med Coll Wisconsin, Milwaukee, WI 53226 USA","med coll wisconsin, milwaukee, wi 53226 usa"
"Los Alamos Natl Lab, Los Alamos, NM 87545 USA","los alamos natl lab, los alamos, nm 87545 usa"
"Oregon Hlth & Sci Univ, Portland, OR 97201 USA","oregon hlth & sci univ, portland, or 97201 usa"
"Hunan University(Hunan University,Hunan Univ.),Changsha,China","hunan university(hunan university,hunan univ.),changsha,china"
boston children s hospital,boston children s hospital
"Brigham & Womens Hosp, Boston, MA 02115 USA","brigham & womens hosp, boston, ma 02115 usa"
ecole polytechnique federale de lausanne,ecole polytechnique federale de lausanne
"East China University of Science and Technology(East China University of Science and Technology),Shanghai,China","east china university of science and technology(east china university of science and technology),shanghai,china"
"Univ Calif Berkeley, Dept Chem, Berkeley, CA 94720 USA","univ calif berkeley, dept chem, berkeley, ca 94720 usa"
"China University of Geosciences(China University of Geosciences),Wuhan,China","china university of geosciences(china university of geosciences),wuhan,china"
"Univ Wisconsin, Madison, WI 53706 USA","univ wisconsin, madison, wi 53706 usa"
"Institute of Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China","institute of physics chinese academy of sciences(chinese academy of sciences),beijing,china"
"Zhengzhou University(Zhengzhou University),Zhengzhou,China","zhengzhou university(zhengzhou university),zhengzhou,china"
"Cedars Sinai Med Ctr, Los Angeles, CA 90048 USA","cedars sinai med ctr, los angeles, ca 90048 usa"
"Univ Calif San Diego, San Diego, CA 92103 USA","univ calif san diego, san diego, ca 92103 usa"
universidade federal de vicosa,universidade federal de vicosa
"European Organization for Nuclear Research(CERN),Geneve,Switzerland","european organization for nuclear research(cern),geneve,switzerland"
"Brigham & Womens Hosp, 75 Francis St, Boston, MA 02115 USA","brigham & womens hosp, 75 francis st, boston, ma 02115 usa"
universite de montreal,universite de montreal
"Xiamen University(Xiamen University),Xiamen,China","xiamen university(xiamen university),xiamen,china"
http://www.springermedizin.de,http://www.springermedizin.de
"Soochow University(Soochow University,Suzhou University),Suzhou,China","soochow university(soochow university,suzhou university),suzhou,china"
university of brasilia,university of brasilia
federal university of paraiba,federal university of paraiba
Author to whom correspondence should be addressed.,author to whom correspondence should be addressed.
"Univ N Carolina, Chapel Hill, NC 27515 USA","univ n carolina, chapel hill, nc 27515 usa"
federal university of ceara,federal university of ceara
"Univ Sao Paulo, Sao Paulo, Brazil","univ sao paulo, sao paulo, brazil"
universite catholique de louvain,universite catholique de louvain
"Univ Calif Los Angeles, David Geffen Sch Med, Los Angeles, CA 90095 USA","univ calif los angeles, david geffen sch med, los angeles, ca 90095 usa"
"Med Univ Vienna, Vienna, Austria","med univ vienna, vienna, austria"
