,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
0,Corresponding author.,Corresponding author.,736635,{},NaN
1,university of sao paulo,universityersity of sao paulo,110371,"{'primary organization': [{'text': 'university of sao paulo', 'start': 0, 'end': 23, 'probability': 0.9985866643363863}], 'secondary organization': [{'text': 'university of sao paulo', 'start': 0, 'end': 23, 'probability': 0.9913407317622358}], 'tertiary organization': [{'text': 'university of sao paulo', 'start': 0, 'end': 23, 'probability': 0.9965535038451634}], 'city': [{'text': 'sao paulo', 'start': 14, 'end': 23, 'probability': 0.9997108125825207}]}",university of sao paulo
2,university of liege,universityersity of liege,102790,"{'primary organization': [{'text': 'university of liege', 'start': 0, 'end': 19, 'probability': 0.9992986288784778}], 'secondary organization': [{'text': 'university of liege', 'start': 0, 'end': 19, 'probability': 0.9960819592207244}], 'tertiary organization': [{'text': 'university of liege', 'start': 0, 'end': 19, 'probability': 0.9988851611935097}], 'city': [{'text': 'liege', 'start': 14, 'end': 19, 'probability': 0.9871407073804939}]}",university of liege
3,"Zhejiang University(Zhejiang University),Hangzhou,China","Zhejiang University(Zhejiang University),Hangzhou,China",92871,"{'primary organization': [{'text': 'zhejiang university', 'start': 0, 'end': 19, 'probability': 0.9866379234302833}, {'text': 'zhejiang university', 'start': 20, 'end': 39, 'probability': 0.9922193517641915}], 'secondary organization': [{'text': 'zhejiang university', 'start': 0, 'end': 19, 'probability': 0.8303103273208023}, {'text': 'zhejiang university', 'start': 20, 'end': 39, 'probability': 0.9830307008774852}], 'tertiary organization': [{'text': 'zhejiang university', 'start': 0, 'end': 19, 'probability': 0.9898791788806989}, {'text': 'zhejiang university', 'start': 20, 'end': 39, 'probability': 0.9970433442905602}], 'city': [{'text': 'hangzhou', 'start': 41, 'end': 49, 'probability': 0.8503444207410453}], 'country': [{'text': 'china', 'start': 50, 'end': 55, 'probability': 0.999982774314681}]}",zhejiang university
4,"Harbin Institute of Technology(Harbin Institute of Technology,Harbin Inst. of Technol.),Harbin,China","Harbin Institute of Technology(Harbin Institute of Technology,Harbin Inst. of Technol.),Harbin,China",66702,"{'primary organization': [{'text': 'harbin institute of technology', 'start': 0, 'end': 30, 'probability': 0.9955690619475916}, {'text': 'harbin institute of technology', 'start': 31, 'end': 61, 'probability': 0.8125924056569431}], 'secondary organization': [{'text': 'harbin institute of technology', 'start': 0, 'end': 30, 'probability': 0.9838280082359709}, {'text': 'harbin institute of technology', 'start': 31, 'end': 61, 'probability': 0.8921736882140969}], 'tertiary organization': [{'text': 'harbin institute of technology', 'start': 0, 'end': 30, 'probability': 0.9891993416439959}, {'text': 'harbin institute of technology', 'start': 31, 'end': 61, 'probability': 0.9035616582477672}], 'city': [{'text': 'harbin', 'start': 88, 'end': 94, 'probability': 0.994435617928886}, {'text': 'harbin', 'start': 62, 'end': 68, 'probability': 0.9874580939036193}, {'text': 'harbin', 'start': 31, 'end': 37, 'probability': 0.4395076739248438}], 'country': [{'text': 'china', 'start': 95, 'end': 100, 'probability': 0.9999797344989751}]}",harbin institute of technology
5,"Univ Texas MD Anderson Canc Ctr, Houston, TX 77030 USA","Univ Texas MD Anderson Canc Ctr, Houston, TX 77030 USA",65354,"{'city': [{'text': 'houston', 'start': 33, 'end': 40, 'probability': 0.9999839664130263}], 'postal code': [{'text': '77030', 'start': 45, 'end': 50, 'probability': 0.9982770239524541}], 'country': [{'text': 'usa', 'start': 51, 'end': 54, 'probability': 0.9997073580619542}]}",NaN
6,University of Wisconsin-Madison,University of Wisconsin-Madison,62582,"{'primary organization': [{'text': 'university of wisconsin-madison', 'start': 0, 'end': 31, 'probability': 0.9758391040386307}], 'secondary organization': [{'text': 'university of wisconsin-madison', 'start': 0, 'end': 31, 'probability': 0.8715303985930802}], 'tertiary organization': [{'text': 'university of wisconsin-madison', 'start': 0, 'end': 31, 'probability': 0.9845572991737939}]}",university of wisconsin-madison
7,"Huazhong University of Science and Technology(Huazhong University of Science and Technology,Huazhong Univ. of Sci. and Technol.),Wuhan,China","Huazhong University of Science and Technology(Huazhong University of Science and Technology,Huazhong Univ. of Sci. and Technol.),Wuhan,China",61201,"{'primary organization': [{'text': 'huazhong university of science and technology', 'start': 46, 'end': 91, 'probability': 0.8742967328466733}, {'text': 'huazhong university of science and technology', 'start': 0, 'end': 45, 'probability': 0.9770061605329516}], 'secondary organization': [{'text': 'huazhong university of science and technology', 'start': 46, 'end': 91, 'probability': 0.8234314254530943}, {'text': 'huazhong university of science and technology', 'start': 0, 'end': 45, 'probability': 0.9769097559485473}], 'tertiary organization': [{'text': 'huazhong university of science and technology', 'start': 46, 'end': 91, 'probability': 0.8570237327323476}, {'text': 'huazhong univ. of sci. and technol.', 'start': 92, 'end': 127, 'probability': 0.5390083447290763}, {'text': 'huazhong university of science and technology', 'start': 0, 'end': 45, 'probability': 0.9827001968064124}], 'city': [{'text': 'wuhan', 'start': 129, 'end': 134, 'probability': 0.9992363412030443}], 'country': [{'text': 'china', 'start': 135, 'end': 140, 'probability': 0.9999805689651851}]}",huazhong university of science and technology
8,Corresponding authors.,Corresponding authors.,60000,{},NaN
9,sao paulo state university,sao paulo state universityersity,57954,"{'primary organization': [{'text': 'sao paulo state university', 'start': 0, 'end': 26, 'probability': 0.9978440688304602}], 'secondary organization': [{'text': 'sao paulo state university', 'start': 0, 'end': 26, 'probability': 0.9807276570421664}], 'tertiary organization': [{'text': 'sao paulo state university', 'start': 0, 'end': 26, 'probability': 0.9960994747248364}], 'city': [{'text': 'sao paulo', 'start': 0, 'end': 9, 'probability': 0.9443182788834612}]}",sao paulo state university
