,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
0,corresponding author.,corresponding author.,corresponding author.,736635,NaN
1,university of sao paulo,university of sao paulo,university of sao paulo,110371,university of sao paulo
2,university of liege,university of liege,university of liege,102790,university of liege
3,"zhejiang university(zhejiang university),hangzhou,china","zhejiang university(zhejiang university),hangzhou,china","zhejiang university(zhejiang university),hangzhou,china",92871,zhejiang university
4,"harbin institute of technology(harbin institute of technology,harbin inst. of technol.),harbin,china","harbin institute of technology(harbin institute of technology,harbin inst. of technol.),harbin,china","harbin institute of technology(harbin institute of technology,harbin inst. of technol.),harbin,china",66702,harbin institute of technology
5,"university texas md anderson canc center, houston, tx 77030 usa","univ texas md anderson canc ctr, houston, tx 77030 usa","university texas md anderson canc center, houston, tx 77030 usa",65354,NaN
6,university of wisconsin-madison,university of wisconsin-madison,university of wisconsin-madison,62582,university of wisconsin-madison
7,"huazhong university of science and technology(huazhong university of science and technology,huazhong univ. of sci. and technol.),wuhan,china","huazhong university of science and technology(huazhong university of science and technology,huazhong univ. of sci. and technol.),wuhan,china","huazhong university of science and technology(huazhong university of science and technology,huazhong univ. of sci. and technol.),wuhan,china",61201,huazhong university of science and technology
8,corresponding authors.,corresponding authors.,corresponding authors.,60000,NaN
9,sao paulo state university,sao paulo state university,sao paulo state university,57954,sao paulo state university
10,"peking university(peking university),beijing,china","peking university(peking university),beijing,china","peking university(peking university),beijing,china",53756,peking university
11,"university calif san francisco, san francisco, ca 94143 usa","univ calif san francisco, san francisco, ca 94143 usa","university calif san francisco, san francisco, ca 94143 usa",53718,university calif
12,corresponding author,corresponding author,corresponding author,52734,NaN
13,"university penn, philadelphia, pa 19104 usa","univ penn, philadelphia, pa 19104 usa","university penn, philadelphia, pa 19104 usa",52388,university penn
14,"jilin university(jilin university),changchun,china","jilin university(jilin university),changchun,china","jilin university(jilin university),changchun,china",52284,jilin university
15,"chinese academy of sciences(chinese academy of sciences),beijing,china","chinese academy of sciences(chinese academy of sciences),beijing,china","chinese academy of sciences(chinese academy of sciences),beijing,china",50426,chinese academy of sciences
16,"sichuan university(sichuan university),chengdu,china","sichuan university(sichuan university),chengdu,china","sichuan university(sichuan university),chengdu,china",48807,sichuan university
17,university of wisconsin madison,university of wisconsin madison,university of wisconsin madison,46242,university of wisconsin madison
18,"xi'an jiaotong university(xi'an jiaotong university,xi'an jiaotong univ,xi'an jiaotong univ.),xi an,china","xi'an jiaotong university(xi'an jiaotong university,xi'an jiaotong univ,xi'an jiaotong univ.),xi an,china","xi'an jiaotong university(xi'an jiaotong university,xi'an jiaotong univ,xi'an jiaotong univ.),xi an,china",41820,xi'an jiaotong university
19,"massachusetts general hospital, boston, ma 02114 usa","massachusetts gen hosp, boston, ma 02114 usa","massachusetts general hospital, boston, ma 02114 usa",40451,massachusetts general hospital
20,"wuhan university(wuhan university),wuhan,china","wuhan university(wuhan university),wuhan,china","wuhan university(wuhan university),wuhan,china",39814,wuhan university
21,"dalian university of technology(dalian university of technology,dalian univ. of technol.),dalian,china","dalian university of technology(dalian university of technology,dalian univ. of technol.),dalian,china","dalian university of technology(dalian university of technology,dalian univ. of technol.),dalian,china",39358,dalian university of technology
22,"beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china","beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china","beijing institute of technology(beijing institute of technology,beijing inst. of technol.),beijing,china",39126,beijing institute of technology
23,"national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china","national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china","national university of defense technology(national university of defense technology,national univ. of defense technology),changsha,china",39037,national university of defense technology
24,"central south university china(central south university ^),changsha,china","central south university china(central south university ^),changsha,china","central south university china(central south university ^),changsha,china",38164,central south university
25,"southeast university(southeast university,southeast univ),nanjing,china","southeast university(southeast university,southeast univ),nanjing,china","southeast university(southeast university,southeast univ),nanjing,china",37962,southeast university
26,to whom correspondence should be addressed.,to whom correspondence should be addressed.,to whom correspondence should be addressed.,37846,NaN
27,"fudan university(fudan university),shanghai,china","fudan university(fudan university),shanghai,china","fudan university(fudan university),shanghai,china",36955,fudan university
28,"university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china","university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china","university of science and technology of china(university of science and technology of china,univ. of sci. and technol. of china),hefei,china",36283,university of science and technology of china
29,"tongji university(tongji university,tongji univ.),shanghai,china","tongji university(tongji university,tongji univ.),shanghai,china","tongji university(tongji university,tongji univ.),shanghai,china",35650,tongji university
30,"university of science and technology beijing(university of science and technology beijing),beijing,china","university of science and technology beijing(university of science and technology beijing),beijing,china","university of science and technology beijing(university of science and technology beijing),beijing,china",35461,university of science and technology
31,"shandong university(shandong university),jinan,china","shandong university(shandong university),jinan,china","shandong university(shandong university),jinan,china",35149,shandong university
32,these authors contributed equally to this work.,these authors contributed equally to this work.,these authors contributed equally to this work.,34399,NaN
33,"nanjing university(nanjing university),nanjing,china","nanjing university(nanjing university),nanjing,china","nanjing university(nanjing university),nanjing,china",32996,nanjing university
34,auteur correspondant.,auteur correspondant.,auteur correspondant.,32615,auteur
35,"northeastern university china(northeastern university,northeastern univ.),shenyang,china","northeastern university china(northeastern university,northeastern univ.),shenyang,china","northeastern university china(northeastern university,northeastern univ.),shenyang,china",32492,northeastern university
36,"baylor college medicine, houston, tx 77030 usa","baylor coll med, houston, tx 77030 usa","baylor college medicine, houston, tx 77030 usa",32216,baylor college medicine
37,"fermilab national accelerator laboratory, batavia, il 60510 usa","fermilab natl accelerator lab, batavia, il 60510 usa","fermilab national accelerator laboratory, batavia, il 60510 usa",31617,fermilab national accelerator laboratory
38,"university calif los angeles, los angeles, ca usa","univ calif los angeles, los angeles, ca usa","university calif los angeles, los angeles, ca usa",31463,university calif
39,"northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china","northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china","northwestern polytechnical university(northwestern polytechnical university,northwestern polytechnical univ),xi'an,china",30906,northwestern polytechnical university
40,"university alabama birmingham, birmingham, al usa","univ alabama birmingham, birmingham, al usa","university alabama birmingham, birmingham, al usa",30725,university alabama
41,"south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china","south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china","south china university of technology(south china university of technology,south china univ. of technol.),guangzhou,china",30557,south china university of technology
42,"institute high energy physics, beijing 100049, peoples r china","inst high energy phys, beijing 100049, peoples r china","institute high energy physics, beijing 100049, peoples r china",30366,institute high energy physics
43,"university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china","university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china","university of electronic science and technology of china(university of electronic science and technology of china),chengdu,china",28978,university of electronic science and technology of china
44,"xidian university(xidian university,xidian univ.),xi an,china","xidian university(xidian university,xidian univ.),xi an,china","xidian university(xidian university,xidian univ.),xi an,china",28964,xidian university
45,"chongqing university(chongqing university),chongqing,china","chongqing university(chongqing university),chongqing,china","chongqing university(chongqing university),chongqing,china",28940,chongqing university
46,instituto politecnico nacional,instituto politecnico nacional,instituto politecnico nacional,28058,instituto politecnico nacional
47,"nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china","nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china","nanjing university of aeronautics and astronautics(nanjing university of aeronautics and astronautics,nanjing univ. of aero. and astron.),nanjing,china",27814,nanjing university of aeronautics and astronautics
48,texas a m university,texas a m university,texas a m university,27476,texas a m university
49,"beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china","beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china","beijing university of technology(beijing university of technology,beijing polytechnic university),beijing,china",27373,beijing university of technology
50,"beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china","beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china","beijing university of posts and telecommunications(beijing university of posts and telecommunications,beijing univ. of posts and telecom.),beijing,china",27256,beijing university of posts and telecommunications
51,"china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china","china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china","china university of petroleum - beijing(china university of petroleum,university of petroleum),beijing,china",26939,china university of petroleum
52,federal university of parana,federal university of parana,federal university of parana,26762,federal university of parana
53,"university calif san diego, la jolla, ca 92093 usa","univ calif san diego, la jolla, ca 92093 usa","university calif san diego, la jolla, ca 92093 usa",25144,university calif
54,"north china electric power university(north china electric power university),beijing,china","north china electric power university(north china electric power university),beijing,china","north china electric power university(north china electric power university),beijing,china",25031,north china electric power university
55,"university calif davis, davis, ca 95616 usa","univ calif davis, davis, ca 95616 usa","university calif davis, davis, ca 95616 usa",24885,NaN
56,"mem sloan kettering canc center, 1275 york ave, new york, ny 10021 usa","mem sloan kettering canc ctr, 1275 york ave, new york, ny 10021 usa","mem sloan kettering canc center, 1275 york ave, new york, ny 10021 usa",24880,mem sloan kettering canc center
57,"mem sloan kettering canc center, new york, ny 10021 usa","mem sloan kettering canc ctr, new york, ny 10021 usa","mem sloan kettering canc center, new york, ny 10021 usa",24400,NaN
58,"wuhan university of technology(wuhan university of technology),wuhan,china","wuhan university of technology(wuhan university of technology),wuhan,china","wuhan university of technology(wuhan university of technology),wuhan,china",24400,wuhan university of technology
59,"university wisconsin, madison, wi usa","univ wisconsin, madison, wi usa","university wisconsin, madison, wi usa",24374,university wisconsin
60,autor para correspondencia.,autor para correspondencia.,autor para correspondencia.,24214,autor para correspondencia
61,"beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china","beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china","beihang university(beijing university of aeronautics and astronautics,beihang university),beijing,china",23792,beihang university
62,"nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china","nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china","nanjing university of science and technology(nanjing university of science and technology,nanjing univ. of sci. and technol.,nanjing univ. of sci. and technology,nust),nanjing,china",23606,nanjing university of science and technology
63,"institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china","institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china","institute of high energy physics chinese academy of science(chinese academy of sciences,institute of high energy physics),beijing,china",23396,institute of high energy physics
64,"harbin engineering university(harbin engineering university),harbin,china","harbin engineering university(harbin engineering university),harbin,china","harbin engineering university(harbin engineering university),harbin,china",22623,harbin engineering university
