,random_selection100
0,university s florida
1,hospital clinic san carlos
2,medicine university
3,university of wisconsin
4,new york medicine college
5,east china university of science and technology
6,maimonides hospital
7,swiss trop
8,institute high energy physics
9,wenzhou medical college
10,donghua university
11,sandia national labs
12,xi an jiao tong university
13,university wisconsin
14,cea saclay
15,queen s university belfast
16,university fed ceara
17,suny upstate medicine university
18,university texas
19,university cattolica sacro cuore
20,department chemical and biochem
21,chinese academy of geological sciences
22,university fed
23,baylor college medicine
24,guangxi university
25,nanjing medical university
26,department physics
27,national university of defense technology
28,
29,department elect engineering
30,institute of chemistry
31,
32,city hope national medicine center
33,university nebraska
34,fragrance materials inc
35,southwest university of science and technology
36,chinese academy sciences
37,indian institute sciences
38,hospital university penn
39,university of wisconsin
40,university autonoma
41,harvard smithsonian center
42,
43,forschungszentrum julich
44,sichuan university
45,massachusetts general hospital
46,vu university amsterdam
47,academy of military medical science
48,heriot watt university
49,seoul national university hospital
50,university of gottingen
51,dent university
52,max planck institute extraterr physics
53,chinese academy sciences
54,university fed
55,pn lebedev physics institute
56,massachusetts institute of technology
57,wien
58,st louis university
59,
60,tata institute fundamental research
61,novartis pharmaceut
62,jfk medicine center
63,cedars sinai medical center
64,national taiwan university
65,"publ health, department epidemiol"
66,
67,lanzhou university
68,carol davila university
69,china agricultural university
70,yangzhou university
71,samsung medicine center
72,fudan university
73,gsi helmholtzzentrum schwerionenforsch gmbh
74,xi'an university of technology
75,agricultural applied economics association
76,trop medicine
77,
78,college of electrical engineering
79,münchen
80,european synchrotron radiat facil
81,pontificia universidade catolica do parana
82,space telescope sciences institute
83,nikhef national institute
84,autor para correspondencia
85,
86,sinopec
87,publ health
88,
89,quaid i azam university
90,institut de recherches sur les lois fondamentales de l’univers
91,penn state university
92,institute high energy physics
93,lanzhou institute of chemical physics
94,neuroradiol
95,elect power university
96,queensland university technology
97,institute of semiconductors
98,university wisconsin
99,fermi national accelerator laboratory
