gpt,Groundtruth,
"University of Cambridge, University of Oxford, University of California, Berkeley, Harvard University",NaN,TRUE
University of Sao Paulo,University of Sao Paulo,TRUE
University of Liege,University of Liege,TRUE
Zhejiang University,Zhejiang University,TRUE
Harbin Institute of Technology,Harbin Institute of Technology,TRUE
University of Texas MD Anderson Cancer Center,NaN,TRUE
University of Wisconsin-Madison,University of Wisconsin-Madison,TRUE
Huazhong University of Science and Technology,Huazhong University of Science and Technology,TRUE
"University of California, Los Angeles, University of Texas, University of California, San Diego, University of Michigan",NaN,TRUE
Sao Paulo State University,Sao Paulo State University,TRUE
Peking University,Peking University,TRUE
University of California San Francisco,University of California San Francisco,FALSE
"University of California, Berkeley, Stanford University, Harvard University",NaN,TRUE
University Penn,University Penn,TRUE
Jilin University,Jilin University,TRUE
Chinese Academy of Sciences,Chinese Academy of Sciences,TRUE
Sichuan University,Sichuan University,TRUE
University of Wisconsin Madison,University of Wisconsin Madison,TRUE
Xian Jiaotong University,Xian Jiaotong University,TRUE
Massachusetts General Hospital,Massachusetts General Hospital,TRUE
Wuhan University,Wuhan University,TRUE
Dalian University of Technology,Dalian University of Technology,TRUE
Beijing Institute of Technology,Beijing Institute of Technology,TRUE
National University of Defense Technology,National University of Defense Technology,TRUE
Central South University,Central South University,TRUE
Southeast University,Southeast University,TRUE
correspondence,NaN,TRUE
Fudan University,Fudan University,TRUE
University of Science and Technology of China,University of Science and Technology of China,TRUE
Tongji University,Tongji University,TRUE
University of Science and Technology Beijing,University of Science and Technology Beijing,TRUE
Shandong University,Shandong University,TRUE
Primary Organization- Unique Results in List Format1. Organization 12. Organization 23. Organization 34. Organization 45. Organization 5,NaN,TRUE
Nanjing University,Nanjing University,TRUE
"Organisation des Nations Unies, Organisation mondiale de la santé, Organisation mondiale du commerce, Organisation des États américains, Organisation internationale du travail",auteur,FALSE
Northeastern University,Northeastern University,TRUE
Baylor College Medicine,Baylor College Medicine,TRUE
Fermilab National Accelerator Laboratory,Fermilab National Accelerator Laboratory,TRUE
University of California Los Angeles,University of California Los Angeles,FALSE
Northwestern Polytechnical University,Northwestern Polytechnical University,TRUE
University of Alabama Birmingham,University of Alabama Birmingham,TRUE
South China University of Technology,South China University of Technology,TRUE
Institute of High Energy Physics,Institute of High Energy Physics,TRUE
University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,TRUE
Xidian University,Xidian University,TRUE
Chongqing University,Chongqing University,TRUE
Instituto Politécnico Nacional,Instituto Politécnico Nacional,TRUE
Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,TRUE
Texas A&M University,Texas A&M University,TRUE
"Beijing University of Technology, Beijing Polytechnic University",beijing university of technology,TRUE
Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,TRUE
China University of Petroleum - Beijing,China University of Petroleum - Beijing,TRUE
Federal University of Parana,Federal University of Parana,TRUE
University of California San Diego,University of California San Diego,FALSE
North China Electric Power University,North China Electric Power University,TRUE
"University of California, Davis","University of California, Davis",FALSE
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,FALSE
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,FALSE
Wuhan University of Technology,Wuhan University of Technology,TRUE
University of Wisconsin-Madison,University of Wisconsin-Madison,TRUE
Universidad de Granada,NaN,FALSE
"Beihang University (Beijing University of Aeronautics and Astronautics, Beihang University), Beijing, China",beihang university,TRUE
Nanjing University of Science and Technology,Nanjing University of Science and Technology,TRUE
chinese academy of sciences,chinese academy of sciences,FALSE
Harbin Engineering University,Harbin Engineering University,TRUE
Federal University of Sao Paulo,Federal University of Sao Paulo,TRUE
Technische Universitat Munchen,Technische Universitat Munchen,TRUE
Dana Farber Cancer Institute,Dana Farber Cancer Institute,TRUE
"University of California, Berkeley","University of California, Berkeley",FALSE
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,FALSE
Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,TRUE
Penn State University,Penn State University,TRUE
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,FALSE
Southwest Jiaotong University,Southwest Jiaotong University,TRUE
China University of Mining and Technology,China University of Mining and Technology,TRUE
Empresa Brasileira de Pesquisa Agropecuária,Empresa Brasileira de Pesquisa Agropecuária,TRUE
VU University Amsterdam,VU University Amsterdam,FALSE
beijing jiaotong university,beijing jiaotong university,TRUE
Shanghai University,Shanghai University,TRUE
Jiangsu University,Jiangsu University,TRUE
medical college of wisconsin,medical college of wisconsin,FALSE
Los Alamos National Laboratory,Los Alamos National Laboratory,TRUE
